RMS_CDW_ID,General_Offense_Number,Offense_Code,Offense_Code_Extension,Offense_Type,Summary_Offense_Code,Summarized_Offense_Description,Date_Reported,Occurred_Date_or_Date_Range_Start,Occurred_Date_Range_End,Hundred_Block_Location,District_Sector,Zone_Beat,Census_Tract_2000,Longitude,Latitude,Location,Month,Year
725678,201510377,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/10/2015 11:31:00 AM,01/09/2015 12:30:00 PM,01/09/2015 01:30:00 PM,90XX BLOCK OF 13 AV NW,J,J1,1702.3011,-122.372756958,47.695159912,"(47.695159912, -122.372756958)",1,2015
725680,20159276,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,01/09/2015 01:53:00 PM,01/04/2015 01:55:00 AM,,25XX BLOCK OF MAYFAIR AV N,Q,Q2,6000.2024,-122.35206604,47.642818451,"(47.642818451, -122.35206604)",1,2015
725683,20159033,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/09/2015 10:17:00 AM,01/08/2015 10:53:00 AM,,9XX BLOCK OF SENECA ST,E,E3,8300.1003,-122.328109741,47.610069275,"(47.610069275, -122.328109741)",1,2015
725684,20159082,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/09/2015 10:46:00 AM,01/09/2015 10:46:00 AM,01/09/2015 10:46:00 AM,75XX BLOCK OF 31 AV NE,U,U3,2400.3018,-122.294799805,47.683952332,"(47.683952332, -122.294799805)",1,2015
725688,20159524,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/09/2015 04:47:00 PM,01/07/2015 03:00:00 PM,01/07/2015 03:00:00 PM,67XX BLOCK OF RAINIER AV S,S,S2,11102.2008,-122.272186279,47.541584015,"(47.541584015, -122.272186279)",1,2015
725704,2015900461,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,01/09/2015 11:13:00 AM,12/20/2014 10:00:00 AM,12/27/2014 11:05:00 AM,45XX BLOCK OF THACKERAY PL NE,B,B3,5200.4010,-122.326164246,47.662258148,"(47.662258148, -122.326164246)",1,2015
725706,2015900441,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/09/2015 12:24:00 PM,09/06/2014 06:00:00 AM,01/06/2015 06:00:00 AM,32XX BLOCK OF NW 61 ST,B,B1,3200.6040,-122.399726868,47.672973633,"(47.672973633, -122.399726868)",1,2015
725742,201510586,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/10/2015 03:27:00 PM,01/09/2015 02:00:00 PM,01/10/2015 05:30:00 AM,59XX BLOCK OF 34 AV SW,W,W2,10702.1010,-122.375007629,47.549224854,"(47.549224854, -122.375007629)",1,2015
725761,201510241,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/10/2015 03:17:00 PM,12/31/2014 11:00:00 AM,12/31/2014 06:00:00 PM,28XX BLOCK OF RAINIER AV S,R,R2,9500.4005,-122.297836304,47.57793808,"(47.57793808, -122.297836304)",1,2015
725769,2015900169,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/09/2015 12:11:00 PM,01/06/2015 12:42:00 PM,01/06/2015 01:15:00 PM,95XX BLOCK OF 15 AV NW,J,J1,1600.2006,-122.376785278,47.698436737,"(47.698436737, -122.376785278)",1,2015
725771,2015900175,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/09/2015 03:22:00 PM,01/09/2015 01:00:00 AM,01/09/2015 12:10:00 PM,22XX BLOCK OF 3 AV W,Q,Q2,6800.2004,-122.360939026,47.63899231,"(47.63899231, -122.360939026)",1,2015
725798,2015900192,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/10/2015 02:47:00 PM,12/26/2014 06:00:00 PM,12/27/2014 12:00:00 PM,3XX BLOCK OF NW 74 ST,J,J2,2900.3011,-122.361991882,47.682529449,"(47.682529449, -122.361991882)",1,2015
725818,2015900223,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/11/2015 07:09:00 PM,12/17/2014 08:00:00 AM,12/17/2014 08:00:00 PM,9XX BLOCK OF N 102 ST,N,N3,1300.3001,-122.34601593,47.702880859,"(47.702880859, -122.34601593)",1,2015
725837,2015900212,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/11/2015 11:45:00 AM,01/11/2015 12:00:00 AM,01/11/2015 12:10:00 AM,54XX BLOCK OF BALLARD AV NW,B,B1,4700.4010,-122.38558197,47.668140411,"(47.668140411, -122.38558197)",1,2015
725838,201511354,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/11/2015 08:31:00 AM,01/10/2015 03:30:00 PM,01/11/2015 07:00:00 AM,8XX BLOCK OF OCCIDENTAL AV S,K,K2,9300.2016,-122.333267212,47.596782684,"(47.596782684, -122.333267212)",1,2015
725842,2015900186,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/10/2015 11:13:00 AM,01/07/2015 09:40:00 AM,01/08/2015 05:30:00 PM,61XX BLOCK OF PHINNEY AV N,B,B2,3500.2031,-122.354370117,47.673519135,"(47.673519135, -122.354370117)",1,2015
725844,2015900200,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/10/2015 05:52:00 PM,01/09/2015 11:30:00 PM,01/10/2015 09:00:00 AM,7XX BLOCK OF SUMMIT AV E,C,C1,6500.2011,-122.325317383,47.625797272,"(47.625797272, -122.325317383)",1,2015
725848,2015900217,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/11/2015 02:28:00 PM,01/04/2015 10:00:00 PM,01/05/2015 05:00:00 PM,6XX BLOCK OF W HOWE ST,Q,Q2,6900.1012,-122.36566925,47.635955811,"(47.635955811, -122.36566925)",1,2015
725889,2015900117,2399,3,THEFT-OTH,2300,OTHER PROPERTY,01/07/2015 01:02:00 PM,01/06/2015 05:00:00 PM,01/06/2015 06:00:00 PM,36XX BLOCK OF WALLINGFORD AV N,B,B3,5400.1017,-122.33631897,47.651241302,"(47.651241302, -122.33631897)",1,2015
